Точка мониторинга,Среднее значение с MSK-IX,Среднее значение без MSK-IX
"Россия, Москва, восток 2","8,02","9,39"
"Россия, Москва, восток 3","9,26","9,22"
"Россия, Москва, запад 1","9,66","9,79"
"Россия, Москва, запад 2","10,55","10,93"
"Россия, Москва, запад 3","8,04","8,05"
"Россия, Москва, запад 4","9,63","9,59"
"Россия, Москва, север","9,36","9,4"
"Россия, Москва, северо-восток 1","8,63","8,54"
"Россия, Москва, северо-восток 2","11,68","11,58"
"Россия, Москва, северо-восток 3","8,34","9,58"
"Россия, Москва, северо-восток 4","10,16","10,54"
"Россия, Москва, северо-запад","10,98","12,24"
"Россия, Москва, центр 1","8,66","8,65"
"Россия, Москва, центр 2","64,25","8,83"
"Россия, Москва, центр 3","9,73","9,99"
"Россия, Москва, центр 4","9,72","8,67"
"Россия, Москва, юг 1","7,94","8,66"
"Россия, Москва, юг 2","7,63","8,08"
"Россия, Москва, юго-восток","42,5","42,46"
"Россия, Москва, юго-запад","8,56","11,84"
"Россия, Апатиты","49,57","41,48"
"Россия, Владивосток","137,13","137,57"
"Россия, Владимир","13,56","13,44"
"Россия, Дубровка","1,47","1,54"
"Россия, Екатеринбург, запад","36,86","48,53"
"Россия, Екатеринбург, север","44,03","42,16"
"Россия, Екатеринбург, юг","44,57","41,65"
"Россия, Казань","29,86","29,9"
"Россия, Калининград","45,38","44,09"
"Россия, Кемерово","67,91","67,86"
"Россия, Королёв","9,89","12,13"
"Россия, Краснодар","26,47","27,53"
"Россия, Красноярск","70,86","70,61"
"Россия, Нижний Новгород","23,57","15,99"
"Россия, Новокузнецк","64,9","66,2"
"Россия, Новосибирск, север","54,13","54,91"
"Россия, Новосибирск, юг","57,42","56,42"
"Россия, Омск","47,88","49,06"
"Россия, Пермь","42,5","43,78"
"Россия, Петрозаводск","30,65","29,56"
"Россия, Ростов-на-Дону","26,15","26,15"
"Россия, Санкт-Петербург, восток","0,46","0,46"
"Россия, Санкт-Петербург, центр 1","1,13","1,34"
"Россия, Санкт-Петербург, центр 2","0,38","0,66"
"Россия, Санкт-Петербург, юг","0,86","31,94"
"Россия, Саратов","22,07","25,72"
"Россия, Симферополь","32,88","33,74"
"Россия, Тамбов","18,51","21,9"
"Россия, Томск, восток","107,86","97,16"
"Россия, Томск, северо-запад","63,77","63,61"
"Россия, Томск, центр","66,55","73,65"
"Россия, Тюмень","45,37","44,67"
"Россия, Уфа","32,43","35,6"
"Россия, Хабаровск","122,28","151,64"
"Россия, Химки","10,34","11,38"
"Россия, Челябинск","45,05","43,72"
"Россия, Южно-Сахалинск","158,41","211,42"
"Россия, Ярославль","15,18","13,82"
"Азербайджан, Баку","72,99","74,54"
"Белоруссия, Минск","22,68","21,27"
"Грузия, Тбилиси","72,42","73,61"
"Казахстан, Алатау","73,24","68,42"
"Казахстан, Алматы","63,25","64,07"
"Казахстан, Караганда","75,35","69,24"
"Киргизия, Бишкек 1","67,74","68,84"
"Киргизия, Бишкек 2","64,69","96,45"
"Латвия, Рига","20,53","34,06"
"Литва, Вильнюс","46,55","46,42"
"Молдавия, Кишинёв","68,38","68,39"
"Узбекистан, Ташкент","94,11","83,17"
"Украина, Днепр","27,77","27,93"
"Украина, Киев, восток","29,2","28,05"
"Украина, Киев, запад","20,95","19,49"
"Украина, Киев, запад","62,74","62,79"
"Украина, Киев, центр","39,75","39,8"
"Украина, Киев, юг","50,1","48,24"
"Украина, Киев, юго-восток","26,41","25,18"
"Украина, Николаев","52,83","52,77"
"Украина, Одесса, восток","34,77","35,43"
"Украина, Одесса, запад","33,18","33,57"
"Украина, Харьков, север","21,4","19,98"
"Украина, Харьков, юг","21,5","21,85"
"Украина, Хмельницкий","34,84","31,39"
"Эстония, Таллинн","11,87","37,12"
